"WBA","WBA","wba","Web Administrator system","Web Administrator system"
"EPM","EPM","epm","設備保養系統","Equipment Maintenance System"
"EIS","EIS","eis","員工團體保險系統[EIS]","Employee Insurance System"
"DOC","DOC","doc","doc users","doc users"
"QAD","QAD","qad","系統品管","Quality Assurance System"
"CMR","CMR","cmr","貨櫃維修系統","Container Maintenance & Repair System"
"ECS","ECS","ecs","貨櫃控管","Equipment Control System"
"DDS","DDS","dds","貨櫃延滯延還系統","Demurrage and Detention System"
"PPT","PPT","ppt","財產管理-HK","Property System"
"SEC","SEC","sec","Security Control System","Security Control System"
"SKD","SKD","skd","船期管理系統","Sailing Schedule System"
"VSL","VSL","vsl","船舶管理系統","Vessel Management System"
"PAM","PAM","pam","Port Agent Management System-HK/CN","Port Agent Management System"
"OOC","OOC","ooc","租還櫃系統","On/Off Hire Container Manager System"
"GLS","GLS","gls","總帳系統","General Ledger System"
"AMS","AMS","ams","授權管理系統","Authority Management System"
"CMS","CMS","cms","客戶管理系統","Customer Management System"
"PNL","PNL","pnl","人事薪資系統","Personnel System"
"BGS","BGS","bgs","預算系統","Budget System"
"DBA","DBA","dba","DataBase Administrator System","DataBase Administrator System"
"MFT","MFT","mft","文件系統","Document System"
"BKG","BKG","bkg","訂艙系統","Booking System"
"GCS","GCS","gcs","合約系統","General Contract System"
"EDI","EDI","edi","EDI系統","Electronic Data Interchange or ITF"
"SSS","SSS","sss","IT public subprogram","IT public subprogram"
"COM","COM","com","COMMON SYSTEM AUTO_JOB,AUTO_EMAIL","COMMON SYSTEM"
"SRS","SRS","srs","營運分析系統","Sales Revenue System"
"BKS","BKS","bks","銀行管理系統","Banking System"
"APS","APS","aps","應付帳款管理系統","Account Payable System"
"EWC","EWC","ewc","職工福利委員會管理系統","Empolyee Welfare Committee management system"
"CRS","CRS","crs","理賠系統","Claim Recovery system"
"REC","REC","rec","收款系統","Receipt System"
"ARS","ARS","ars","應收帳款系統","Account Receivable System"
"PTM","PTM","ptm","財產管理系統","Property Management System"
"PCS","PCS","pcs","採購管理系統","Purchase System"
"PAY","PAY","pay","付款系統","Payment System"
"NMS","NMS","nms","票據管理系統","Notes Management System"
"FIN","FIN","fin","財務分析系統","Finance Analysis System"
"PSF","PSF","psf","船員人事薪資系統","Personnel,Salary & Wage on Fleet"
"DJR","DJR","djr","工作日誌系統","Dairly Job Recording System"
"SAS","SAS","sas","Sales Data Analysis System","Sales Data Analysis System"
"IVT","IVT","ivt","庫存管理系統","Inventory Management System"
"BFS","BFS","bfs","萬海航運社會福利慈善基金會系統","Beneficence Fundation System"
"ELS","ELS","els","Europe Logistic System","Europe Logistic System"
"IHD","IHD","ihd","內陸轉運系統","Inland Haulage Dispatch System"
"ITM","ITM","itm","IT管理系統","IT Department Management System"
"CSS","CSS","css","客戶服務系統","Customer Service System"
"ACT","ACT","act","會計應用系統","Accounting Package System"
"CTS","CTS","cts","Container Transport System","Container Transport System"
"DGS","DGS","dgs","危險品申報管理系統","Dangerous Cargo Management System"
"TML","TML","tml","碼頭系統","TERMINAL SYSTEM"
"RSS","RSS","rss","聯營貨櫃裝卸","Rolling summary system"
"EMS","EMS","ems","ISO 14001 和 戰情資料庫","ISO 14001 and Shipping Information Archive"
"ECR","ECR","ecr","Extra Cost and Revenue","Extra Cost and Revenue"
"PCR","PCR","pcr","退佣系統","Promotional Concessive Rate"
"LMR","LMR","lmr","艙位管理系統","Liner Management Resource"
"ERS","ERS","ers","緊急事故通報","Emergency Report System"
"WAS","WAS","was","Web架構系統","Web Architecture System"
"FIS","FIS","fis","船上資訊管理","Fleet Information System"
"LIB","LIB","lib","圖書管理系統","Library System"
"ARM","ARM","arm","應收管理系統[CN]","CN Account Receivable Management"
"CFS","CFS","cfs","香港散貨作業系統","CFS System"
"ZZZ","ZZZ","zzz","收集performance 數據","[WEB]prorgram test performance data"
"VRM","VRM","vrm","供應商管理系統","Vendor Relationship Management"
"SSM","SSM","ssm","System Service Management System","System Service Management System"
"WCS","WCS","wcs","Web共用元件","Web Component System"
"IRC","IRC","irc","IAL收款系統","IAL Receipt System Management"
"CRA","CRA","cra","成本分析系統","Cost Revenue Analysis System"
"RFQ","RFQ","rfq","SGSIN","Request Feeder Quotation"
"OBS","OBS","obs","海外預算系統","Overseas Budget System"
"FMS","FMS","fms","船舶管理系統","Fleet Management System"
"VBP","VBP","vbp","船舶靠泊規劃","Vessel Berth Planner"
"REM","REM","rem","收款系統","Receipt System Management"
"PCM","PCM","pcm","採購管理系統","Purchase Management System"
"ZKT","ZKT","zkt","ZK開發的Template program","ZK Template"
"FMV","FMV","fmv","FMS 船上子系統","FMS Vessel SubSystem"
"CCM","CCM","ccm","Container Cost Management","Container Cost Management"
"APM","APM","apm","應付帳款管理系統","Account Payable Management System"
"BI","BI","bi","Oracle Business Intelligence","Oracle Business Intelligence"
"IAR","IAR","iar","IAL ARS","IAL ARS"
